id;tipo;fecha_inicio;fecha_fin;intervalo;foreign_id;cancelado
1;CANCELAR;2023-01-23T15:24:50;2023-01-23T14:38:15;Connecticut holistic;21074;true
2;RECURR;2023-01-23T06:15:29;2023-01-23T07:12:04;online systemic green;82648;true
3;CANCELAR;2023-01-23T00:38:58;2023-01-23T18:26:44;Saint Account Kids;23107;true
4;RECURR;2023-01-23T06:14:00;2023-01-23T18:17:39;Devolved up Card;75012;true
5;CANCELAR;2023-01-23T08:29:37;2023-01-23T03:45:46;Taiwan Beauty;49823;false
6;HIST;2023-01-22T23:59:41;2023-01-22T21:48:26;Mill;60359;true
7;HIST;2023-01-23T08:28:38;2023-01-23T02:18:45;morph capacitor Soft;23445;true
8;RECURR;2023-01-23T00:21:01;2023-01-23T08:15:42;models;28247;true
9;HIST;2023-01-23T20:04:05;2023-01-22T22:55:32;strategic generating Montana;56586;false
10;RECURR;2023-01-23T16:55:48;2023-01-23T08:28:17;New North Internal;48974;true
